2020-04-28 12:04:139 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:255 INFO  HomePage :50 - Clicking on books[[ChromeDriver: chrome on WINDOWS (b22260a521c0e3f86bfab9fc5e3179a3)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Books')]]
2020-04-28 12:04:719 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:907 INFO  HomePage :45 - Mouse hovering on computer tab [[ChromeDriver: chrome on WINDOWS (61591f7693915e2798b04ea81b8a242b)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 12:04:880 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:489 INFO  HomePage :45 - Mouse hovering on computer tab [[ChromeDriver: chrome on WINDOWS (656e6736e530e34118f947774631913b)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 12:04:565 INFO  ComputersPage :28 - Mouse hovering on desktop and click[[ChromeDriver: chrome on WINDOWS (656e6736e530e34118f947774631913b)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 12:04:448 INFO  ComputersPage :34 - clicking on build your own computerProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[contains(text(),'Desktops')]'
2020-04-28 12:04:766 INFO  ComputersPage :41 - Clicking on Hdd radio buttonProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[contains(text(),'Build your own computer')]'
2020-04-28 12:04:24 INFO  ComputersPage :47 - Clicking on add to cart button[[ChromeDriver: chrome on WINDOWS (656e6736e530e34118f947774631913b)] -> id: add-to-cart-button-1]
2020-04-28 12:04:931 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:315 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (43b332cbfb314c5da4c3dd909e830298)] -> link text: Log in]
2020-04-28 12:04:416 INFO  LoginPage :53 - Getting text from : [[ChromeDriver: chrome on WINDOWS (43b332cbfb314c5da4c3dd909e830298)] -> xpath: //div[@class='page-title']//h1]
2020-04-28 12:04:391 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:450 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ce12427cb3ef89c7d11ab5a5524879d5)] -> link text: Log in]
2020-04-28 12:04:985 INFO  LoginPage :36 - Entering email address : xyz12@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (ce12427cb3ef89c7d11ab5a5524879d5)] -> id: Email]
2020-04-28 12:04:224 INFO  LoginPage :42 - Entering password : abc123 to password field : [[ChromeDriver: chrome on WINDOWS (ce12427cb3ef89c7d11ab5a5524879d5)] -> id: Password]
2020-04-28 12:04:648 INFO  LoginPage :48 - Clicking on login button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@class='button-1 login-button']'
2020-04-28 12:04:569 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:422 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f521a89b1911b9209119d0c0640f9a49)] -> link text: Log in]
2020-04-28 12:04:646 INFO  LoginPage :36 - Entering email address : abc123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (f521a89b1911b9209119d0c0640f9a49)] -> id: Email]
2020-04-28 12:04:928 INFO  LoginPage :42 - Entering password : xyz123 to password field : [[ChromeDriver: chrome on WINDOWS (f521a89b1911b9209119d0c0640f9a49)] -> id: Password]
2020-04-28 12:04:997 INFO  LoginPage :48 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (f521a89b1911b9209119d0c0640f9a49)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:234 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:879 INFO  HomePage :34 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d1a630ca9b4ee70115e442cb922903f6)] -> link text: Log in]
2020-04-28 12:04:53 INFO  LoginPage :36 - Entering email address : abcde@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (d1a630ca9b4ee70115e442cb922903f6)] -> id: Email]
2020-04-28 12:04:253 INFO  LoginPage :42 - Entering password : abc12 to password field : [[ChromeDriver: chrome on WINDOWS (d1a630ca9b4ee70115e442cb922903f6)] -> id: Password]
2020-04-28 12:04:415 INFO  LoginPage :48 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (d1a630ca9b4ee70115e442cb922903f6)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:281 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:464 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dec1ddbca4cde09a0ac67e5d71ca84b3)] -> xpath: //a[@class='ico-register']]
2020-04-28 12:04:668 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-28 12:04:871 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> xpath: //a[@class='ico-register']]
2020-04-28 12:04:134 INFO  RegisterPage :52 - Clicking on radio button[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: gender-female]
2020-04-28 12:04:746 INFO  RegisterPage :58 - Entering first namePratikshain first name field[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: FirstName]
2020-04-28 12:04:925 INFO  RegisterPage :64 - Entering last namePatelin last name field[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: LastName]
2020-04-28 12:04:333 INFO  RegisterPage :70 - Entering emailabc1234@gmail.comin email field[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: Email]
2020-04-28 12:04:555 INFO  RegisterPage :76 - Entering company namePBS Limitedin company name field[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: Company]
2020-04-28 12:04:817 INFO  RegisterPage :82 - Entering password 2810omin password field[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: Password]
2020-04-28 12:04:992 INFO  RegisterPage :88 - Entering confirm password2810om in confirm password field[[ChromeDriver: chrome on WINDOWS (507ba6949247f6c37b81e6a94e82cdfc)] -> id: ConfirmPassword]
2020-04-28 12:04:79 INFO  RegisterPage :94 - Clicking on register buttonProxy element for: DefaultElementLocator 'By.id: register-button'
